stu4	charter	dcode	year	wchildpoverty_percent	housing_estimate	pop_estimate	white_percent	employee_ben	r4c	r1a	instr_sal_reg	instr_sal_special	ss_instr	aa_percent	ai_percent	asian_percent	pacific_percent	otherrac_percent	novehicle_percent	dif1	post1
1	0	03030	1995	0.135	8103	17474	0.930999994	3018000	255000	3156000			333000	0.021	0.004	0.005	0	0.02	0.050999999	-7	0
1	0	03030	1996	0.135	8103	17474	0.930999994	3380000	0	2928000			278000	0.021	0.004	0.005	0	0.02	0.050999999	-6	0
2	0	03030	1997	0.135	8103	17474	0.930999994	3627000	0	3495000			317000	0.021	0.004	0.005	0	0.02	0.050999999	-5	0
2	0	03030	1998	0.135	8103	17474	0.930999994	3671000	0	3687000			389000	0.021	0.004	0.005	0	0.02	0.050999999	-4	0
2	0	03030	1999	0.135	8103	17474	0.930999994	3931000	66000	3997000			442000	0.021	0.004	0.005	0	0.02	0.050999999	-3	0
2	0	03030	2000	0.135	8103	17474	0.930999994	4370000	43000	4274000			504000	0.021	0.004	0.005	0	0.02	0.050999999	-2	0
2	0	03030	2001	0.135	8103	17474	0.930999994	4739000	66000	4880000			541000	0.021	0.004	0.005	0	0.02	0.050999999	-1	0
2	0	03030	2002	0.135	8103	17474	0.930999994	5283000	98000	4952000			552000	0.021	0.004	0.005	0	0.02	0.050999999	0	1
2	1	03030	2003	0.135	8103	17474	0.930999994	5742000	17000	5366000			737000	0.021	0.004	0.005	0	0.02	0.050999999	1	1
2	0	03030	2004	0.135	8103	17474	0.930999994	5889000	0	5719000	6531000	1100000	732000	0.021	0.004	0.005	0	0.02	0.050999999	2	1
1	0	03030	2005	0.135	8103	17474	0.930999994	6161000	0	6190000	6382000	1137000	598000	0.021	0.004	0.005	0	0.02	0.050999999	3	1
1	0	03030	2006	0.135	8103	17474	0.930999994	2138376.16	19608.02	6662359.36	6502564.77	1063305.59	707181.36	0.021	0.004	0.005	0	0.02	0.050999999	4	1
1	0	03030	2007	0.135	8103	17474	0.930999994	2275528	0	7480831.6	6674147.72	1045851.188	706952.3125	0.021	0.004	0.005	0	0.02	0.050999999	5	1
1	0	03030	2008	0.135	8103	17474	0.930999994	2234674	0	7744646.46	6195380.88	905612.5	690343.0625	0.021	0.004	0.005	0	0.02	0.050999999	6	1
1	0	03030	2009	0.135	8103	17474	0.930999994	2047985.75	0	7205285	6761110.5	942821.25	663010.125	0.021	0.004	0.005	0	0.02	0.050999999	7	1
0	0	03050	1995	0.211	4200	8502	0.869000018	1804000	19000	1237000			460000	0.009	0.002	0.003	0	0.079999998	0.018999999	-1	0
0	0	03050	1996	0.211	4200	8502	0.869000018	1953000	17000	1218000			331000	0.009	0.002	0.003	0	0.079999998	0.018999999	0	1
1	1	03050	1997	0.211	4200	8502	0.869000018	2080000	19000	1189000			340000	0.009	0.002	0.003	0	0.079999998	0.018999999	1	1
1	0	03050	1998	0.211	4200	8502	0.869000018	2080000	23000	1212000			405000	0.009	0.002	0.003	0	0.079999998	0.018999999	2	1
0	0	03050	1999	0.211	4200	8502	0.869000018	2144000	31000	1275000			348000	0.009	0.002	0.003	0	0.079999998	0.018999999	3	1
1	0	03050	2000	0.211	4200	8502	0.869000018	2405000	29000	1328000			585000	0.009	0.002	0.003	0	0.079999998	0.018999999	4	1
1	0	03050	2001	0.211	4200	8502	0.869000018	2481000	47000	1157000			591000	0.009	0.002	0.003	0	0.079999998	0.018999999	5	1
1	0	03050	2002	0.211	4200	8502	0.869000018	2789000	38000	1318000			604000	0.009	0.002	0.003	0	0.079999998	0.018999999	6	1
0	0	03050	2003	0.211	4200	8502	0.869000018	2923000	0	1407000			504000	0.009	0.002	0.003	0	0.079999998	0.018999999	7	1
0	0	03050	2004	0.211	4200	8502	0.869000018	2813000	0	1490000	3275000	385000	568000	0.009	0.002	0.003	0	0.079999998	0.018999999	8	1
0	0	03050	2005	0.211	4200	8502	0.869000018	2950000	0	2938000	3117000	389000	533000	0.009	0.002	0.003	0	0.079999998	0.018999999	9	1
0	0	03050	2006	0.211	4200	8502	0.869000018	1017286.95	0	3204418.65	3216642.17	437853.04	535994.29	0.009	0.002	0.003	0	0.079999998	0.018999999	10	1
0	0	03050	2007	0.211	4200	8502	0.869000018	1012720.125	0	3404298.69	3348096.05	475078.5	394330.0313	0.009	0.002	0.003	0	0.079999998	0.018999999	11	1
0	0	03050	2008	0.211	4200	8502	0.869000018	949793.4375	0	3582141.45	3098785.95	422731.6875	329553.2813	0.009	0.002	0.003	0	0.079999998	0.018999999	12	1
0	0	03050	2009	0.211	4200	8502	0.869000018	968634.5	0	3718974.25	2890823	445818.75	348343.9688	0.009	0.002	0.003	0	0.079999998	0.018999999	13	1
0	0	03050	2010	0.211	4200	8502	0.869000018	867761.875	0	3928974.75	2707441.75	409576.8125	280116.375	0.009	0.002	0.003	0	0.079999998	0.018999999	14	1
0	0	03050	2011	0.211	4200	8502	0.869000018	942677.9375	0	3940814.75	2915761	339076	288679.125	0.009	0.002	0.003	0	0.079999998	0.018999999	15	1
0	0	03050	2012	0.211	4200	8502	0.869000018	785582.3125	0	3949242	2932621	319638	326496.4375	0.009	0.002	0.003	0	0.079999998	0.018999999	16	1
0	0	03050	2013	0.211	4200	8502	0.869000018	760240.3125	0	3934377	2930405	323009.4063	293794.9063	0.009	0.002	0.003	0	0.079999998	0.018999999	17	1
0	0	05010	1995	0.156	956	1109	0.964999974	198000	0	434000			0	0	0.014	0	0.002	0.001	0.018999999	-3	0
0	0	05010	1996	0.156	956	1109	0.964999974	220000	0	423000			0	0	0.014	0	0.002	0.001	0.018999999	-2	0
0	0	05010	1997	0.156	956	1109	0.964999974	263000	0	420000			0	0	0.014	0	0.002	0.001	0.018999999	-1	0
0	0	05010	1998	0.156	956	1109	0.964999974	274000	0	337000			0	0	0.014	0	0.002	0.001	0.018999999	0	1
0	1	05010	1999	0.156	956	1109	0.964999974	264000	0	515000			0	0	0.014	0	0.002	0.001	0.018999999	1	1
0	0	05010	2000	0.156	956	1109	0.964999974	293000	0	540000			14000	0	0.014	0	0.002	0.001	0.018999999	2	1
0	0	05010	2001	0.156	956	1109	0.964999974	309000	0	593000			16000	0	0.014	0	0.002	0.001	0.018999999	3	1
0	0	05010	2002	0.156	956	1109	0.964999974	332000	0	624000			13000	0	0.014	0	0.002	0.001	0.018999999	4	1
0	0	05010	2003	0.156	956	1109	0.964999974	353000	0	668000			13000	0	0.014	0	0.002	0.001	0.018999999	5	1
0	0	05010	2004	0.156	956	1109	0.964999974	369000	32000	717000	450000	27000	0	0	0.014	0	0.002	0.001	0.018999999	6	1
0	0	05010	2005	0.156	956	1109	0.964999974	398000	17000	776000	446000	42000	6000	0	0.014	0	0.002	0.001	0.018999999	7	1
0	0	05010	2006	0.156	956	1109	0.964999974	112886.26	0	809029.54	496850.02	56340.08	13076.42	0	0.014	0	0.002	0.001	0.018999999	8	1
0	0	05010	2007	0.156	956	1109	0.964999974	134107.1406	0	855913.71	547338.94	34336.37891	13834.71973	0	0.014	0	0.002	0.001	0.018999999	9	1
0	0	05010	2008	0.156	956	1109	0.964999974	135067.6875	0	921600.86	561781.53	35092.96094	19628.83008	0	0.014	0	0.002	0.001	0.018999999	10	1
